teamAbbr,teamPTS,opptAbbr,opptPTS,teamRslt,teamLoc,teamPTS1,teamPTS2,teamPTS3,teamPTS4,teamPTS5,teamPTS6,teamPTS7,teamPTS8,opptPTS1,opptPTS2,opptPTS3,opptPTS4,opptPTS5,opptPTS6,opptPTS7,opptPTS8
SA,96,ATL,85,Win,Home,24,22,24,26,0,0,0,0,22,16,27,20,0,0,0,0
SAC,98,DEN,114,Loss,Home,22,25,23,28,0,0,0,0,22,25,34,33,0,0,0,0
LAL,103,CHI,94,Win,Home,23,19,30,31,0,0,0,0,27,29,19,19,0,0,0,0
CHA,129,WAS,124,Win,Home,25,30,29,30,15,0,0,0,26,33,29,26,10,0,0,0
CLE,119,BKN,109,Win,Home,20,25,32,42,0,0,0,0,17,29,31,32,0,0,0,0
PHI,101,POR,81,Win,Home,26,24,20,31,0,0,0,0,14,23,20,24,0,0,0,0
ATL,103,LAC,116,Loss,Home,30,33,21,19,0,0,0,0,29,33,26,28,0,0,0,0
MIA,104,BOS,98,Win,Home,27,27,25,25,0,0,0,0,16,25,22,35,0,0,0,0
NY,108,TOR,100,Win,Home,26,22,41,19,0,0,0,0,34,25,10,31,0,0,0,0
HOU,125,DEN,95,Win,Home,36,39,26,24,0,0,0,0,17,23,27,28,0,0,0,0
MEM,94,DAL,95,Loss,Home,27,29,16,22,0,0,0,0,12,27,35,21,0,0,0,0
MIN,124,ORL,118,Win,Home,30,35,41,18,0,0,0,0,35,27,18,38,0,0,0,0
NO,107,SA,90,Win,Home,19,31,37,20,0,0,0,0,29,13,17,31,0,0,0,0
